         4809926 function calls (4665996 primitive calls) in 94.254 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3912    0.004    0.000    5.046    0.001 /usr/lib/python3.12/subprocess.py:1259(wait)
     3912    0.016    0.000    5.041    0.001 /usr/lib/python3.12/subprocess.py:2021(_wait)
      440    0.001    0.000    4.847    0.011 /home/ali/venv/lib/python3.12/site-packages/audioread/ffdec.py:318(__exit__)
      880    0.004    0.000    4.846    0.006 /home/ali/venv/lib/python3.12/site-packages/audioread/ffdec.py:280(close)
      440    0.004    0.000    4.791    0.011 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/io/readers.py:42(__init__)
      880    0.039    0.000    4.651    0.005 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/ffmpeg_reader.py:229(ffmpeg_parse_infos)
     3011    0.004    0.000    4.521    0.002 /usr/lib/python3.12/subprocess.py:2008(_try_wait)
     5157    4.470    0.001    4.515    0.001 {built-in method posix.waitpid}
      882    0.004    0.000    4.018    0.005 /usr/lib/python3.12/subprocess.py:1165(communicate)
     4952    0.014    0.000    4.012    0.001 /usr/lib/python3.12/selectors.py:402(select)
      882    0.032    0.000    4.011    0.005 /usr/lib/python3.12/subprocess.py:2062(_communicate)
     4952    3.994    0.001    3.994    0.001 {method 'poll' of 'select.poll' objects}
     5019    0.040    0.000    3.960    0.001 /home/ali/venv/lib/python3.12/site-packages/proglog/proglog.py:231(__call__)
  880/467    0.010    0.000    3.502    0.007 /home/ali/venv/lib/python3.12/site-packages/audioread/ffdec.py:70(run)
      880    0.006    0.000    3.250    0.004 /home/ali/venv/lib/python3.12/site-packages/audioread/ffdec.py:62(__init__)
      880    0.003    0.000    3.104    0.004 /usr/lib/python3.12/queue.py:34(__init__)
4258/2734    0.007    0.000    2.618    0.001 /home/ali/venv/lib/python3.12/site-packages/torch/nn/modules/module.py:1732(_wrapped_call_impl)
4258/2734    0.009    0.000    2.612    0.001 /home/ali/venv/lib/python3.12/site-packages/torch/nn/modules/module.py:1740(_call_impl)
     1364    0.008    0.000    2.490    0.002 /home/ali/venv/lib/python3.12/site-packages/torchvision/transforms/transforms.py:93(__call__)
     1294    0.009    0.000    2.471    0.002 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/ffmpeg_reader.py:188(close)
     5019    0.003    0.000    2.468    0.000 /home/ali/venv/lib/python3.12/site-packages/proglog/proglog.py:345(callback)
      880    0.005    0.000    2.465    0.003 /home/ali/venv/lib/python3.12/site-packages/tqdm/std.py:716(write)
     8410    2.088    0.000    2.088    0.000 {method 'read' of 'cv2.VideoCapture' objects}
     1364    0.002    0.000    2.070    0.002 /home/ali/venv/lib/python3.12/site-packages/torchvision/transforms/transforms.py:346(forward)
     1364    0.009    0.000    2.033    0.001 /home/ali/venv/lib/python3.12/site-packages/torchvision/transforms/functional.py:387(resize)
     1364    0.003    0.000    2.001    0.001 /home/ali/venv/lib/python3.12/site-packages/torchvision/transforms/_functional_pil.py:238(resize)
     1364    0.006    0.000    1.997    0.001 /home/ali/venv/lib/python3.12/site-packages/PIL/Image.py:2259(resize)
     1364    1.983    0.001    1.983    0.001 {method 'resize' of 'ImagingCore' objects}
    10224    0.027    0.000    1.965    0.000 /home/ali/venv/lib/python3.12/site-packages/numpy/core/fromnumeric.py:3385(mean)
    10664    0.066    0.000    1.947    0.000 /home/ali/venv/lib/python3.12/site-packages/numpy/core/_methods.py:101(_mean)
    20883    1.848    0.000    1.848    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      880    0.005    0.000    1.788    0.002 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/io/ffmpeg_audiowriter.py:119(close)
      880    0.003    0.000    1.719    0.002 /usr/lib/python3.12/queue.py:206(_init)
      427    0.000    0.000    1.636    0.004 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/ffmpeg_reader.py:198(__del__)
     4139    0.006    0.000    1.424    0.000 /home/ali/venv/lib/python3.12/site-packages/proglog/proglog.py:328(bars_callback)
      867    0.009    0.000    1.409    0.002 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/ffmpeg_reader.py:76(initialize)
     2640    0.003    0.000    1.282    0.000 /home/ali/venv/lib/python3.12/site-packages/tqdm/utils.py:194(inner)
     4203    0.015    0.000    1.193    0.000 /home/ali/Desktop/Projects/#03 WasReleasedToday/SPE/video_summarizer.py:148(is_static_frame)
     3699    0.018    0.000    1.131    0.000 /home/ali/venv/lib/python3.12/site-packages/proglog/proglog.py:192(new_iterable)
2668/2215    0.006    0.000    1.122    0.001 /home/ali/venv/lib/python3.12/site-packages/lazy_loader/__init__.py:77(__getattr__)
2787/2655    0.004    0.000    1.114    0.000 /usr/lib/python3.12/importlib/__init__.py:73(import_module)
3138/2659    0.006    0.000    1.110    0.000 <frozen importlib._bootstrap>:1349(_find_and_load)
2787/2655    0.003    0.000    1.109    0.000 <frozen importlib._bootstrap>:1375(_gcd_import)
    365/9    0.002    0.000    1.102    0.122 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    357/7    0.001    0.000    1.100    0.157 <frozen importlib._bootstrap>:911(_load_unlocked)
    320/7    0.001    0.000    1.099    0.157 <frozen importlib._bootstrap_external>:989(exec_module)
   895/15    0.002    0.000    1.097    0.073 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    573/7    0.024    0.000    1.097    0.157 {built-in method builtins.exec}
     3488    0.025    0.000    1.066    0.000 /usr/lib/python3.12/subprocess.py:807(__init__)
      440    0.003    0.000    1.050    0.002 /home/ali/venv/lib/python3.12/site-packages/proglog/proglog.py:322(close_tqdm_bar)
      880    0.004    0.000    1.046    0.001 /home/ali/venv/lib/python3.12/site-packages/tqdm/std.py:1265(close)
     2586    0.002    0.000    0.880    0.000 /usr/lib/python3.12/subprocess.py:1233(poll)
     6048    0.006    0.000    0.877    0.000 /usr/lib/python3.12/subprocess.py:1973(_internal_poll)
     3488    0.050    0.000    0.873    0.000 /usr/lib/python3.12/subprocess.py:1791(_execute_child)
83194/36682    0.025    0.000    0.868    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.847    0.847 /home/ali/venv/lib/python3.12/site-packages/librosa/core/audio.py:1(<module>)
    13975    0.799    0.000    0.799    0.000 {cvtColor}
      880    0.001    0.000    0.681    0.001 /home/ali/venv/lib/python3.12/site-packages/tqdm/std.py:1286(fp_write)
     1364    0.015    0.000    0.661    0.000 /home/ali/venv/lib/python3.12/site-packages/PIL/Image.py:3257(fromarray)
      880    0.002    0.000    0.649    0.001 /home/ali/venv/lib/python3.12/site-packages/tqdm/std.py:1464(display)
     1364    0.003    0.000    0.642    0.000 /home/ali/venv/lib/python3.12/site-packages/PIL/Image.py:3185(frombuffer)
     1364    0.005    0.000    0.637    0.000 /home/ali/venv/lib/python3.12/site-packages/PIL/Image.py:3139(frombytes)
      880    0.002    0.000    0.622    0.001 /home/ali/venv/lib/python3.12/site-packages/tqdm/std.py:457(print_status)
      880    0.002    0.000    0.604    0.001 /home/ali/venv/lib/python3.12/site-packages/tqdm/std.py:451(fp_write)
     1284    0.006    0.000    0.593    0.000 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/io/readers.py:147(close_proc)
     3488    0.586    0.000    0.586    0.000 {built-in method _posixsubprocess.fork_exec}
      427    0.001    0.000    0.550    0.001 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/io/readers.py:252(__del__)
      857    0.013    0.000    0.519    0.001 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/io/readers.py:67(initialize)
     1760    0.003    0.000    0.457    0.000 /usr/lib/python3.12/threading.py:1115(join)
     1760    0.001    0.000    0.453    0.000 /usr/lib/python3.12/threading.py:1153(_wait_for_tstate_lock)
      865    0.003    0.000    0.437    0.001 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/io/readers.py:128(seek)
        6    0.000    0.000    0.395    0.066 /home/ali/venv/lib/python3.12/site-packages/torchvision/models/mobilenetv3.py:219(forward)
        6    0.000    0.000    0.395    0.066 /home/ali/venv/lib/python3.12/site-packages/torchvision/models/mobilenetv3.py:209(_forward_impl)
     8803    0.045    0.000    0.395    0.000 /usr/lib/python3.12/idlelib/rpc.py:226(asynccall)
   378/12    0.002    0.000    0.395    0.033 /home/ali/venv/lib/python3.12/site-packages/torch/nn/modules/container.py:248(forward)
       12    0.001    0.000    0.382    0.032 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/ffmpeg_reader.py:107(skip_frames)
      440    0.003    0.000    0.377    0.001 /home/ali/venv/lib/python3.12/site-packages/proglog/proglog.py:169(iter_bar)
      440    0.004    0.000    0.364    0.001 /home/ali/venv/lib/python3.12/site-packages/proglog/proglog.py:311(new_tqdm_bar)
     3259    0.005    0.000    0.357    0.000 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/io/ffmpeg_audiowriter.py:71(write_frames)
      440    0.010    0.000    0.350    0.001 /home/ali/venv/lib/python3.12/site-packages/tqdm/std.py:952(__init__)
     3259    0.349    0.000    0.349    0.000 {method 'write' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.342    0.342 /home/ali/venv/lib/python3.12/site-packages/scipy/signal/__init__.py:1(<module>)
     1364    0.004    0.000    0.341    0.000 /home/ali/venv/lib/python3.12/site-packages/PIL/Image.py:3087(new)
        5    0.000    0.000    0.331    0.066 /home/ali/venv/lib/python3.12/site-packages/numba/np/ufunc/decorators.py:200(wrap)
     1364    0.329    0.000    0.329    0.000 {built-in method PIL._imaging.fill}
       40    0.000    0.000    0.312    0.008 /home/ali/venv/lib/python3.12/site-packages/numba/core/caching.py:627(load_overload)
      440    0.001    0.000    0.309    0.001 /home/ali/venv/lib/python3.12/site-packages/tqdm/std.py:1325(refresh)
       90    0.011    0.000    0.307    0.003 /home/ali/venv/lib/python3.12/site-packages/torchvision/models/mobilenetv3.py:110(forward)
6209/5852    0.005    0.000    0.298    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.297    0.297 /home/ali/venv/lib/python3.12/site-packages/scipy/signal/_peak_finding.py:1(<module>)
        1    0.000    0.000    0.297    0.297 /home/ali/venv/lib/python3.12/site-packages/scipy/stats/__init__.py:1(<module>)
     8803    0.051    0.000    0.293    0.000 /usr/lib/python3.12/idlelib/rpc.py:332(putmessage)
     1364    0.005    0.000    0.289    0.000 /home/ali/venv/lib/python3.12/site-packages/PIL/Image.py:854(frombytes)
     9770    0.277    0.000    0.277    0.000 {absdiff}
   136/79    0.000    0.000    0.274    0.003 {built-in method builtins.__import__}
     1364    0.273    0.000    0.273    0.000 {method 'decode' of 'ImagingDecoder' objects}
       22    0.000    0.000    0.269    0.012 /home/ali/venv/lib/python3.12/site-packages/numba/np/ufunc/ufuncbuilder.py:172(_compile_element_wise_function)
     1364    0.002    0.000    0.268    0.000 /home/ali/venv/lib/python3.12/site-packages/torchvision/transforms/transforms.py:129(__call__)
       22    0.000    0.000    0.267    0.012 /home/ali/venv/lib/python3.12/site-packages/numba/np/ufunc/ufuncbuilder.py:106(compile)
     1364    0.021    0.000    0.266    0.000 /home/ali/venv/lib/python3.12/site-packages/torchvision/transforms/functional.py:127(to_tensor)
       22    0.000    0.000    0.265    0.012 /home/ali/venv/lib/python3.12/site-packages/numba/np/ufunc/ufuncbuilder.py:125(_compile_core)
       18    0.000    0.000    0.259    0.014 /home/ali/venv/lib/python3.12/site-packages/numba/np/ufunc/gufunc.py:136(add)
       18    0.000    0.000    0.259    0.014 /home/ali/venv/lib/python3.12/site-packages/numba/np/ufunc/ufuncbuilder.py:252(add)
      440    0.003    0.000    0.247    0.001 /home/ali/venv/lib/python3.12/site-packages/librosa/core/audio.py:477(to_mono)
      440    0.003    0.000    0.233    0.001 /home/ali/venv/lib/python3.12/site-packages/audioread/__init__.py:108(audio_open)
        2    0.000    0.000    0.233    0.116 /home/ali/venv/lib/python3.12/site-packages/lazy_loader/__init__.py:125(load)
        2    0.000    0.000    0.233    0.116 /usr/lib/python3.12/inspect.py:1768(stack)
        2    0.000    0.000    0.233    0.116 /usr/lib/python3.12/inspect.py:1738(getouterframes)
       36    0.000    0.000    0.232    0.006 /usr/lib/python3.12/inspect.py:1677(getframeinfo)
       48    0.005    0.000    0.231    0.005 /home/ali/venv/lib/python3.12/site-packages/torchvision/ops/misc.py:258(forward)
       68    0.086    0.001    0.229    0.003 /usr/lib/python3.12/inspect.py:981(getmodule)
      440    0.022    0.000    0.228    0.001 /home/ali/venv/lib/python3.12/site-packages/audioread/ffdec.py:124(__init__)
       48    0.001    0.000    0.226    0.005 /home/ali/venv/lib/python3.12/site-packages/torchvision/ops/misc.py:251(_scale)
      881    0.002    0.000    0.220    0.000 /usr/lib/python3.12/threading.py:973(start)
        1    0.000    0.000    0.219    0.219 /home/ali/venv/lib/python3.12/site-packages/librosa/util/utils.py:1(<module>)
   300/40    0.000    0.000    0.210    0.005 /home/ali/venv/lib/python3.12/site-packages/numba/core/base.py:261(refresh)
  332/278    0.000    0.000    0.196    0.001 /home/ali/venv/lib/python3.12/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
     8803    0.049    0.000    0.175    0.000 /usr/lib/python3.12/idlelib/rpc.py:306(_getresponse)
       36    0.000    0.000    0.173    0.005 /usr/lib/python3.12/inspect.py:1063(findsource)
      441    0.002    0.000    0.171    0.000 /home/ali/venv/lib/python3.12/site-packages/audioread/ffdec.py:80(popen_multiple)
6927/6887    0.120    0.000    0.159    0.000 /home/ali/venv/lib/python3.12/site-packages/llvmlite/binding/ffi.py:190(__call__)
     1370    0.154    0.000    0.154    0.000 {method 'to' of 'torch._C.TensorBase' objects}
        6    0.000    0.000    0.151    0.025 /home/ali/Desktop/Projects/#03 WasReleasedToday/SPE/video_summarizer.py:123(analyze_frames_batch)
      300    0.003    0.000    0.150    0.001 /home/ali/venv/lib/python3.12/site-packages/numba/core/cpu.py:60(load_additional_registries)
    12325    0.032    0.000    0.149    0.000 /usr/lib/python3.12/threading.py:277(__init__)
      881    0.008    0.000    0.139    0.000 /usr/lib/python3.12/threading.py:882(__init__)
     1364    0.002    0.000    0.137    0.000 /home/ali/venv/lib/python3.12/site-packages/torchvision/transforms/transforms.py:269(forward)
      440    0.004    0.000    0.135    0.000 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/io/ffmpeg_audiowriter.py:37(__init__)
     1364    0.006    0.000    0.135    0.000 /home/ali/venv/lib/python3.12/site-packages/torchvision/transforms/functional.py:327(normalize)
    889/8    0.008    0.000    0.132    0.017 /usr/lib/python3.12/threading.py:637(wait)
     8803    0.131    0.000    0.131    0.000 {method 'send' of '_socket.socket' objects}
 10111/26    0.036    0.000    0.130    0.005 /usr/lib/python3.12/threading.py:323(wait)
 30082/69    0.243    0.000    0.129    0.002 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.128    0.128 /home/ali/venv/lib/python3.12/site-packages/scipy/stats/distributions.py:1(<module>)
        2    0.000    0.000    0.124    0.062 /home/ali/venv/lib/python3.12/site-packages/numba/np/ufunc/decorators.py:128(wrap)
      868    0.002    0.000    0.124    0.000 /usr/lib/python3.12/inspect.py:944(getsourcefile)
