         3789495 function calls (3566026 primitive calls) in 302.661 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    2.658    0.332 /home/ali/venv/lib/python3.12/site-packages/tqdm/std.py:1265(close)
     2008    0.340    0.000    2.384    0.001 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/fx/resize.py:8(resizer)
      451    2.374    0.005    2.374    0.005 {method 'update' of '_hashlib.HASH' objects}
      659    0.005    0.000    2.301    0.003 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/ffmpeg_writer.py:132(write_frame)
      636    0.810    0.001    2.187    0.003 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/fx/fadeout.py:21(fl)
       89    0.031    0.000    2.124    0.024 /home/ali/venv/lib/python3.12/site-packages/whisper/model.py:227(forward)
     1541    2.026    0.001    2.026    0.001 {method 'write' of '_io.BufferedWriter' objects}
        6    0.000    0.000    1.797    0.299 /home/ali/venv/lib/python3.12/site-packages/tqdm/std.py:1286(fp_write)
        3    0.001    0.000    1.664    0.555 /home/ali/venv/lib/python3.12/site-packages/whisper/model.py:188(forward)
        2    0.000    0.000    1.522    0.761 <decorator-gen-45>:1(write_audiofile)
        2    0.000    0.000    1.522    0.761 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/AudioClip.py:145(write_audiofile)
        2    0.000    0.000    1.522    0.761 <decorator-gen-9>:1(ffmpeg_audiowrite)
      106    0.001    0.000    1.395    0.013 /usr/lib/python3.12/subprocess.py:1165(communicate)
     2008    1.383    0.001    1.383    0.001 {resize}
      759    1.369    0.002    1.373    0.002 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/fx/fadein.py:18(fl)
     1609    0.002    0.000    1.298    0.001 /home/ali/venv/lib/python3.12/site-packages/moviepy/Clip.py:187(<lambda>)
      676    0.001    0.000    1.235    0.002 /home/ali/venv/lib/python3.12/site-packages/moviepy/decorators.py:10(outplace)
      133    0.000    0.000    1.226    0.009 /home/ali/venv/lib/python3.12/site-packages/moviepy/Clip.py:95(fl)
      107    0.000    0.000    1.224    0.011 <decorator-gen-61>:1(set_make_frame)
      107    0.001    0.000    1.222    0.011 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/VideoClip.py:636(set_make_frame)
       51    0.001    0.000    1.186    0.023 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/VideoClip.py:1082(__init__)
       51    0.001    0.000    1.091    0.021 /home/ali/venv/lib/python3.12/site-packages/moviepy/tools.py:31(subprocess_call)
     2172    0.015    0.000    1.079    0.000 /home/ali/venv/lib/python3.12/site-packages/whisper/model.py:92(forward)
       24    0.001    0.000    1.051    0.044 /home/ali/venv/lib/python3.12/site-packages/whisper/model.py:143(__init__)
      192    0.002    0.000    0.997    0.005 /home/ali/venv/lib/python3.12/site-packages/torch/nn/modules/linear.py:93(__init__)
      194    0.001    0.000    0.989    0.005 /home/ali/venv/lib/python3.12/site-packages/torch/nn/init.py:456(kaiming_uniform_)
      352    0.986    0.003    0.986    0.003 {method 'uniform_' of 'torch._C.TensorBase' objects}
      192    0.001    0.000    0.985    0.005 /home/ali/venv/lib/python3.12/site-packages/torch/nn/modules/linear.py:114(reset_parameters)
     1555    0.001    0.000    0.957    0.001 /home/ali/venv/lib/python3.12/site-packages/proglog/proglog.py:345(callback)
        8    0.000    0.000    0.957    0.120 /home/ali/venv/lib/python3.12/site-packages/tqdm/std.py:716(write)
       87    0.001    0.000    0.944    0.011 /home/ali/venv/lib/python3.12/site-packages/whisper/decoding.py:155(logits)
      389    0.001    0.000    0.834    0.002 /home/ali/venv/lib/python3.12/site-packages/moviepy/decorators.py:24(apply_to_mask)
      386    0.000    0.000    0.829    0.002 /home/ali/venv/lib/python3.12/site-packages/moviepy/decorators.py:36(apply_to_audio)
       26    0.000    0.000    0.822    0.032 <decorator-gen-36>:1(subclip)
       26    0.000    0.000    0.821    0.032 <decorator-gen-35>:1(subclip)
       26    0.000    0.000    0.821    0.032 <decorator-gen-34>:1(subclip)
       52    0.000    0.000    0.821    0.016 /home/ali/venv/lib/python3.12/site-packages/moviepy/Clip.py:354(subclip)
       52    0.000    0.000    0.821    0.016 /home/ali/venv/lib/python3.12/site-packages/moviepy/Clip.py:153(fl_time)
     8832    0.038    0.000    0.806    0.000 /home/ali/venv/lib/python3.12/site-packages/whisper/model.py:45(forward)
      627    0.006    0.000    0.779    0.001 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/ffmpeg_reader.py:116(read_frame)
        1    0.000    0.000    0.772    0.772 /home/ali/Desktop/Projects/#03 WasReleasedToday/SPE/video_summarizer.py:45(transcribe_audio)
        1    0.000    0.000    0.772    0.772 /home/ali/venv/lib/python3.12/site-packages/whisper/transcribe.py:38(transcribe)
        1    0.000    0.000    0.772    0.772 /home/ali/venv/lib/python3.12/site-packages/whisper/timing.py:279(add_word_timestamps)
       26    0.000    0.000    0.765    0.029 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/VideoFileClip.py:78(__init__)
        2    0.001    0.000    0.713    0.356 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/io/ffmpeg_audiowriter.py:143(ffmpeg_audiowrite)
       87    0.711    0.008    0.711    0.008 /home/ali/venv/lib/python3.12/site-packages/whisper/decoding.py:437(apply)
      653    0.001    0.000    0.706    0.001 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/VideoFileClip.py:113(<lambda>)
      653    0.003    0.000    0.703    0.001 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/ffmpeg_reader.py:153(get_frame)
        1    0.000    0.000    0.701    0.701 /home/ali/venv/lib/python3.12/site-packages/whisper/timing.py:163(find_alignment)
        1    0.000    0.000    0.700    0.700 /home/ali/venv/lib/python3.12/site-packages/whisper/timing.py:141(dtw)
        1    0.000    0.000    0.700    0.700 /home/ali/venv/lib/python3.12/site-packages/whisper/timing.py:108(dtw_cuda)
        1    0.000    0.000    0.696    0.696 /home/ali/venv/lib/python3.12/site-packages/whisper/__init__.py:103(load_model)
        1    0.000    0.000    0.684    0.684 /home/ali/venv/lib/python3.12/site-packages/numba/core/dispatcher.py:343(_compile_for_args)
      9/1    0.000    0.000    0.684    0.684 /home/ali/venv/lib/python3.12/site-packages/numba/core/dispatcher.py:859(compile)
      3/1    0.000    0.000    0.683    0.683 /home/ali/venv/lib/python3.12/site-packages/numba/core/dispatcher.py:79(compile)
      3/1    0.000    0.000    0.683    0.683 /home/ali/venv/lib/python3.12/site-packages/numba/core/dispatcher.py:86(_compile_cached)
      3/1    0.000    0.000    0.683    0.683 /home/ali/venv/lib/python3.12/site-packages/numba/core/dispatcher.py:101(_compile_core)
      3/1    0.000    0.000    0.683    0.683 /home/ali/venv/lib/python3.12/site-packages/numba/core/compiler.py:718(compile_extra)
      4/1    0.000    0.000    0.682    0.682 /home/ali/venv/lib/python3.12/site-packages/numba/core/compiler.py:432(compile_extra)
      4/1    0.000    0.000    0.681    0.681 /home/ali/venv/lib/python3.12/site-packages/numba/core/compiler.py:501(_compile_bytecode)
      4/1    0.000    0.000    0.680    0.680 /home/ali/venv/lib/python3.12/site-packages/numba/core/compiler.py:455(_compile_core)
      4/1    0.001    0.000    0.680    0.680 /home/ali/venv/lib/python3.12/site-packages/numba/core/compiler_machinery.py:342(run)
   131/27    0.000    0.000    0.680    0.025 /home/ali/venv/lib/python3.12/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
   104/26    0.002    0.000    0.679    0.026 /home/ali/venv/lib/python3.12/site-packages/numba/core/compiler_machinery.py:268(_runPass)
   312/78    0.000    0.000    0.667    0.009 /home/ali/venv/lib/python3.12/site-packages/numba/core/compiler_machinery.py:272(check)
      884    0.008    0.000    0.644    0.001 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/AudioClip.py:64(iter_chunks)
      906    0.001    0.000    0.636    0.001 <decorator-gen-44>:1(to_soundarray)
      906    0.012    0.000    0.634    0.001 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/AudioClip.py:88(to_soundarray)
        1    0.000    0.000    0.620    0.620 /home/ali/venv/lib/python3.12/site-packages/whisper/model.py:290(logits)
        1    0.000    0.000    0.615    0.615 /home/ali/venv/lib/python3.12/site-packages/whisper/model.py:293(forward)
    17243    0.604    0.000    0.604    0.000 {method 'to' of 'torch._C.TensorBase' objects}
       29    0.000    0.000    0.601    0.021 /usr/lib/python3.12/threading.py:637(wait)
 2205/882    0.058    0.000    0.502    0.001 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/AudioClip.py:292(make_frame)
      4/2    0.000    0.000    0.486    0.243 /home/ali/venv/lib/python3.12/site-packages/numba/core/typed_passes.py:437(run_pass)
        1    0.000    0.000    0.476    0.476 /home/ali/venv/lib/python3.12/site-packages/whisper/model.py:175(__init__)
     8832    0.474    0.000    0.474    0.000 {built-in method torch._C._nn.linear}
  717/686    0.003    0.000    0.466    0.001 /usr/lib/python3.12/threading.py:323(wait)
1573/1472    0.602    0.000    0.462    0.000 {method 'acquire' of '_thread.lock' objects}
       36    0.000    0.000    0.456    0.013 /home/ali/venv/lib/python3.12/site-packages/whisper/model.py:84(__init__)
     1541    0.442    0.000    0.442    0.000 {method 'tobytes' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.430    0.430 /home/ali/venv/lib/python3.12/site-packages/torch/nn/modules/module.py:2476(load_state_dict)
    58104    0.024    0.000    0.423    0.000 <decorator-gen-32>:1(is_playing)
    370/1    0.004    0.000    0.419    0.419 /home/ali/venv/lib/python3.12/site-packages/torch/nn/modules/module.py:2531(load)
       26    0.000    0.000    0.394    0.015 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/io/AudioFileClip.py:65(__init__)
        1    0.000    0.000    0.382    0.382 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/ffmpeg_writer.py:196(__exit__)
        1    0.000    0.000    0.382    0.382 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/ffmpeg_writer.py:182(close)
       26    0.000    0.000    0.370    0.014 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/ffmpeg_reader.py:28(__init__)
    51645    0.364    0.000    0.364    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      370    0.010    0.000    0.339    0.001 /home/ali/venv/lib/python3.12/site-packages/torch/nn/modules/module.py:2295(_load_from_state_dict)
     1202    0.003    0.000    0.327    0.000 /usr/lib/python3.12/selectors.py:402(select)
     1202    0.323    0.000    0.323    0.000 {method 'poll' of 'select.poll' objects}
      479    0.323    0.001    0.323    0.001 {method 'copy_' of 'torch._C.TensorBase' objects}
       42    0.000    0.000    0.318    0.008 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/io/readers.py:222(buffer_around)
        1    0.000    0.000    0.317    0.317 /home/ali/venv/lib/python3.12/site-packages/whisper/decoding.py:514(__init__)
        1    0.000    0.000    0.317    0.317 /home/ali/venv/lib/python3.12/site-packages/whisper/decoding.py:615(_get_suppress_tokens)
    25391    0.009    0.000    0.314    0.000 {method 'max' of 'numpy.ndarray' objects}
     2124    0.012    0.000    0.309    0.000 /home/ali/venv/lib/python3.12/site-packages/torch/nn/modules/module.py:1752(inner)
     3368    0.016    0.000    0.309    0.000 /home/ali/venv/lib/python3.12/site-packages/whisper/model.py:40(forward)
        1    0.000    0.000    0.307    0.307 /home/ali/venv/lib/python3.12/site-packages/tiktoken/core.py:391(_special_token_regex)
    25391    0.005    0.000    0.304    0.000 /home/ali/venv/lib/python3.12/site-packages/numpy/core/_methods.py:39(_amax)
       26    0.000    0.000    0.303    0.012 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/io/readers.py:42(__init__)
       42    0.028    0.001    0.301    0.007 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/io/readers.py:109(read_chunk)
        1    0.000    0.000    0.296    0.296 /home/ali/venv/lib/python3.12/site-packages/regex/regex.py:349(compile)
        1    0.000    0.000    0.296    0.296 /home/ali/venv/lib/python3.12/site-packages/regex/regex.py:449(_compile)
       53    0.005    0.000    0.289    0.005 /usr/lib/python3.12/subprocess.py:2062(_communicate)
      4/2    0.000    0.000    0.283    0.142 /home/ali/venv/lib/python3.12/site-packages/numba/core/lowering.py:182(lower)
       52    0.002    0.000    0.282    0.005 /home/ali/venv/lib/python3.12/site-packages/moviepy/video/io/ffmpeg_reader.py:229(ffmpeg_parse_infos)
     2172    0.079    0.000    0.277    0.000 /home/ali/venv/lib/python3.12/site-packages/whisper/model.py:114(qkv_attention)
      4/1    0.000    0.000    0.268    0.268 /home/ali/venv/lib/python3.12/site-packages/numba/core/typed_passes.py:105(run_pass)
      4/1    0.000    0.000    0.268    0.268 /home/ali/venv/lib/python3.12/site-packages/numba/core/typed_passes.py:68(type_inference_stage)
      479    0.092    0.000    0.266    0.001 /home/ali/venv/lib/python3.12/site-packages/torch/serialization.py:1762(load_tensor)
      4/1    0.000    0.000    0.263    0.263 /home/ali/venv/lib/python3.12/site-packages/numba/core/typeinfer.py:1072(propagate)
      9/3    0.001    0.000    0.263    0.088 /home/ali/venv/lib/python3.12/site-packages/numba/core/typeinfer.py:147(propagate)
     1104    0.006    0.000    0.257    0.000 /home/ali/venv/lib/python3.12/site-packages/torch/nn/modules/container.py:248(forward)
  127/120    0.003    0.000    0.256    0.002 /home/ali/venv/lib/python3.12/site-packages/numba/core/types/functions.py:281(get_call_type)
       48    0.000    0.000    0.253    0.005 /home/ali/venv/lib/python3.12/site-packages/moviepy/decorators.py:99(add_mask_if_none)
      2/1    0.002    0.001    0.242    0.242 /home/ali/venv/lib/python3.12/site-packages/regex/_regex_core.py:417(_parse_pattern)
   105/99    0.001    0.000    0.241    0.002 /home/ali/venv/lib/python3.12/site-packages/numba/core/typeinfer.py:585(resolve)
      4/2    0.000    0.000    0.240    0.120 /home/ali/venv/lib/python3.12/site-packages/numba/core/lowering.py:218(lower_normal_function)
  120/114    0.000    0.000    0.238    0.002 /home/ali/venv/lib/python3.12/site-packages/numba/core/typing/context.py:189(resolve_function_type)
      4/2    0.000    0.000    0.238    0.119 /home/ali/venv/lib/python3.12/site-packages/numba/core/lowering.py:235(lower_function_body)
    18/16    0.001    0.000    0.238    0.015 /home/ali/venv/lib/python3.12/site-packages/numba/core/lowering.py:260(lower_block)
   105/99    0.000    0.000    0.238    0.002 /home/ali/venv/lib/python3.12/site-packages/numba/core/typeinfer.py:1539(resolve_call)
  120/114    0.000    0.000    0.238    0.002 /home/ali/venv/lib/python3.12/site-packages/numba/core/typing/context.py:233(_resolve_user_function_type)
  283/259    0.001    0.000    0.235    0.001 /home/ali/venv/lib/python3.12/site-packages/numba/core/lowering.py:442(lower_inst)
  840/831    0.001    0.000    0.231    0.000 /home/ali/venv/lib/python3.12/site-packages/numba/core/typing/templates.py:348(apply)
        1    0.000    0.000    0.226    0.226 /home/ali/venv/lib/python3.12/site-packages/torch/nn/modules/module.py:1213(to)
    370/1    0.008    0.000    0.226    0.226 /home/ali/venv/lib/python3.12/site-packages/torch/nn/modules/module.py:897(_apply)
      956    0.001    0.000    0.225    0.000 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/io/AudioFileClip.py:77(<lambda>)
      956    0.080    0.000    0.224    0.000 /home/ali/venv/lib/python3.12/site-packages/moviepy/audio/io/readers.py:156(get_frame)
